Person,Value 1, Value 2
1, 85, 79
2, 95, 94
3, 88, 70
4, 77, 89
5, 86, 83
6, 72, 67
7, 86, 96
8, 74, 62
9, 80, 83
10, 85, 64
11, 64, 60
12, 84, 60
13, 60, 66
14, 57, 59
15, 83, 81
16, 75, 61
17, 76, 65
18, 89, 80
19, 61, 72
20, 63, 74
21, 74, 58
22, 69, 75
23, 67, 68
24, 92, 99
25, 120, 119
26, 64, 65
27, 67, 66
28, 72, 65
29, 92, 95
30, 66, 64
31, 60, 62
32, 73, 74
33, 65, 68
34, 65, 66
35, 105, 106
36, 72, 81
37, 68, 71
38, 91, 88
39, 61, 63
40, 67, 66
41, 115, 112
42, 95, 79
43, 90, 99
44, 73, 69
45, 75, 75
46, 96, 92
47, 89, 87
48, 90, 88
49, 86, 89
50, 122, 127
